model,params,mean_test_accuracy,mean_test_precision,mean_test_recall,mean_test_f1,mean_train_accuracy,mean_train_precision,mean_train_recall,mean_train_f1,overfit,overfit_flg
RandomForest,"{'n_estimators': 147, 'max_depth': 21, 'max_features': 'log2', 'max_samples': 0.8824568340726514}",0.8613898284434492,0.7860340070651916,0.5780788081035463,0.6661976859683215,0.9013349233564049,0.8810545789227927,0.6793875609469181,0.7671793305178215,0.10098164454949998,True
RandomForest,"{'n_estimators': 87, 'max_depth': 10, 'max_features': 'sqrt', 'max_samples': 0.7686926872772157}",0.8613898284434492,0.7860340070651916,0.5780788081035463,0.6661976859683215,0.9013349233564049,0.8810545789227927,0.6793875609469181,0.7671793305178215,0.10098164454949998,True
RandomForest,"{'n_estimators': 124, 'max_depth': 19, 'max_features': 'sqrt', 'max_samples': 0.9243874515782341}",0.8613898284434492,0.7860340070651916,0.5780788081035463,0.6661976859683215,0.9013349233564049,0.8810545789227927,0.6793875609469181,0.7671793305178215,0.10098164454949998,True
RandomForest,"{'n_estimators': 94, 'max_depth': 15, 'max_features': 'log2', 'max_samples': 0.876632071495763}",0.8613898284434492,0.7860340070651916,0.5780788081035463,0.6661976859683215,0.9013349233564049,0.8810545789227927,0.6793875609469181,0.7671793305178215,0.10098164454949998,True
RandomForest,"{'n_estimators': 193, 'max_depth': 29, 'max_features': 'log2', 'max_samples': 0.7897159289937202}",0.8613898284434492,0.7860340070651916,0.5780788081035463,0.6661976859683215,0.9013349233564049,0.8810545789227927,0.6793875609469181,0.7671793305178215,0.10098164454949998,True
RandomForest,"{'n_estimators': 139, 'max_depth': 21, 'max_features': 'log2', 'max_samples': 0.9215006993550092}",0.8613898284434492,0.7860340070651916,0.5780788081035463,0.6661976859683215,0.9013349233564049,0.8810545789227927,0.6793875609469181,0.7671793305178215,0.10098164454949998,True
RandomForest,"{'n_estimators': 151, 'max_depth': 22, 'max_features': 'sqrt', 'max_samples': 0.741015904174606}",0.8613898284434492,0.7860340070651916,0.5780788081035463,0.6661976859683215,0.9013349233564049,0.8810545789227927,0.6793875609469181,0.7671793305178215,0.10098164454949998,True
RandomForest,"{'n_estimators': 129, 'max_depth': 20, 'max_features': 'log2', 'max_samples': 0.9084219848450051}",0.8613898284434492,0.7860340070651916,0.5780788081035463,0.6661976859683215,0.9013349233564049,0.8810545789227927,0.6793875609469181,0.7671793305178215,0.10098164454949998,True
RandomForest,"{'n_estimators': 97, 'max_depth': 28, 'max_features': 'sqrt', 'max_samples': 0.7328442308470117}",0.8608779604771866,0.7766485893865274,0.5875762552070566,0.6690066324423186,0.9196798191971753,0.9096590969581807,0.7375722821511439,0.8145934239665421,0.1455867915242235,True
RandomForest,"{'n_estimators': 93, 'max_depth': 23, 'max_features': 'log2', 'max_samples': 0.8666056736612188}",0.8608779604771866,0.7766485893865274,0.5875762552070566,0.6690066324423186,0.9196798191971753,0.9096590969581807,0.7375722821511439,0.8145934239665421,0.1455867915242235,True
RandomForest,"{'n_estimators': 78, 'max_depth': 21, 'max_features': 'sqrt', 'max_samples': 0.7345534533639472}",0.8627411143994892,0.7791030745242096,0.5951058720573156,0.674785337875127,0.9138753697195089,0.8971358623247362,0.7229832158606989,0.8006747490963191,0.12588941122119213,True
RandomForest,"{'n_estimators': 124, 'max_depth': 19, 'max_features': 'log2', 'max_samples': 0.9900005443781081}",0.8601613938678616,0.7864168700537988,0.5705494548461102,0.6612829836744887,0.8966872826662614,0.8757554012867087,0.6622316332548542,0.75414222998233,0.09285924630784137,True
RandomForest,"{'n_estimators': 162, 'max_depth': 22, 'max_features': 'sqrt', 'max_samples': 0.6717769922772797}",0.8626182605038326,0.7770367285860743,0.597244796018694,0.6753765505801309,0.9187379915220261,0.9075168164191773,0.7353474599194864,0.8123763137715821,0.13699976319145124,True
RandomForest,"{'n_estimators': 170, 'max_depth': 19, 'max_features': 'sqrt', 'max_samples': 0.6164443762547837}",0.86220877644316,0.7805942466518664,0.5899720503743457,0.6720260992628887,0.900536451005835,0.8759963740409212,0.6806713073694345,0.7660597331529616,0.09403363389007291,True
RandomForest,"{'n_estimators': 90, 'max_depth': 23, 'max_features': 'sqrt', 'max_samples': 0.6560027930579112}",0.8624339828043531,0.7737651906253533,0.6007527991361185,0.6763645643760863,0.9252795008645883,0.9168065683038846,0.7563966480655516,0.8288573513650862,0.15249278698899993,True
RandomForest,"{'n_estimators': 143, 'max_depth': 18, 'max_features': 'sqrt', 'max_samples': 0.6941695213551994}",0.8623316378844295,0.7836893798902823,0.5865499565511164,0.6709203821662348,0.897659815326684,0.8708240815775596,0.6719862369934737,0.7585838822850551,0.08766350011882029,True
RandomForest,"{'n_estimators': 76, 'max_depth': 22, 'max_features': 'sqrt', 'max_samples': 0.8892008398945398}",0.8623316177627952,0.7744312424669516,0.5992126702040824,0.6756406061065636,0.9270914439696004,0.9171158695627669,0.7644394855820494,0.8338144083396077,0.15817380223304411,True
RandomForest,"{'n_estimators': 52, 'max_depth': 28, 'max_features': 'sqrt', 'max_samples': 0.6157180941750174}",0.8603661654518482,0.7625591307500607,0.6047752036474218,0.6745627218142197,0.9452622848451631,0.9462457500759252,0.8177036977150577,0.8772802226790325,0.20271750086481277,True
RandomForest,"{'n_estimators': 54, 'max_depth': 30, 'max_features': 'sqrt', 'max_samples': 0.6355124176662026}",0.8594857295106051,0.7591657961039665,0.604518486203991,0.6730643106006019,0.9544347277352943,0.9582847634431002,0.8464108558718001,0.898867096696427,0.22580278609582505,True
