model,mean_test_accuracy,mean_test_precision,mean_test_recall,mean_test_f1,mean_train_accuracy,mean_train_precision,mean_train_recall,mean_train_f1,overfit,overfit_flg,robust_f1,n_estimators,learning_rate,max_depth,subsample,gamma
XGBoost,0.873756230223892,0.7831601166008105,0.6532902754457135,0.7123543651824359,0.8820277738650261,0.8042101607890394,0.6701466172071866,0.7310655114657632,0.018711146283327262,False,0.7067410212974377,,0.26705519401675304,5,0.9343595717463027,3.0
XGBoost,0.8740019355000008,0.7866905877260087,0.6495257525794754,0.7115541003761728,0.8822734753678264,0.8062363545365638,0.6687349952572559,0.7310400331948927,0.01948593281871991,False,0.7057083205305569,,0.26497743073885244,5,0.9325092780772198,3.0
GradientBoosting,0.8734082064375045,0.781951430274395,0.6530339973236542,0.7116972874356674,0.8873510767107629,0.8162880075356916,0.6828959044777881,0.7436506312071783,0.031953343771510934,False,0.7021112843042141,165.0,0.1365344106788868,4,0.8371617309291013,
