model,mean_test_accuracy,mean_test_precision,mean_test_recall,mean_test_f1,mean_train_accuracy,mean_train_precision,mean_train_recall,mean_train_f1,overfit,overfit_flg,n_estimators,learning_rate,max_depth,subsample,gamma,robust_f1
XGBoost,0.8745956884569378,0.7845120729018258,0.6561144748484121,0.7145814978904884,0.8805741187807716,0.7987361633185802,0.6696332811662239,0.7284941531287871,0.0139126552382986,False,,0.27188179053374,3,0.604880250982866,4.0,0.7104077013189989
XGBoost,0.8745956884569378,0.7845120729018258,0.6561144748484121,0.7145814978904884,0.8805741187807716,0.7987361633185802,0.6696332811662239,0.7284941531287871,0.0139126552382986,False,,0.2774963132741388,4,0.6064910381546857,4.0,0.7104077013189989
GradientBoosting,0.8736538765007533,0.7873990408908539,0.6465308328918153,0.7100386225579057,0.8816285326594869,0.8074960734109885,0.6634725897771969,0.7284200831039804,0.0183814605460747,False,197.0,0.15505070394140125,3,0.7644114441437371,,0.7045241843940833
