model,params,mean_test_accuracy,mean_test_precision,mean_test_recall,mean_test_f1,mean_train_accuracy,mean_train_precision,mean_train_recall,mean_train_f1,overfit,overfit_flg
GradientBoosting,"{'n_estimators': 106, 'learning_rate': 0.1632387780907938, 'max_depth': 3, 'subsample': 0.8694573847919151}",0.8731010823879813,0.7848637124331672,0.646959017466539,0.7092556711478513,0.884433504509547,0.8116709380561712,0.6732269189752018,0.735994471201919,0.026738800054067702,False
GradientBoosting,"{'n_estimators': 195, 'learning_rate': 0.19723873972835687, 'max_depth': 4, 'subsample': 0.7242716507963493}",0.8731010823879813,0.7848637124331672,0.646959017466539,0.7092556711478513,0.884433504509547,0.8116709380561712,0.6732269189752018,0.735994471201919,0.026738800054067702,False
GradientBoosting,"{'n_estimators': 122, 'learning_rate': 0.10271203863440888, 'max_depth': 4, 'subsample': 0.7301562221049949}",0.8731010823879813,0.7848637124331672,0.646959017466539,0.7092556711478513,0.884433504509547,0.8116709380561712,0.6732269189752018,0.735994471201919,0.026738800054067702,False
GradientBoosting,"{'n_estimators': 127, 'learning_rate': 0.14581533674743155, 'max_depth': 3, 'subsample': 0.8672027149871155}",0.8731010823879813,0.7848637124331672,0.646959017466539,0.7092556711478513,0.884433504509547,0.8116709380561712,0.6732269189752018,0.735994471201919,0.026738800054067702,False
GradientBoosting,"{'n_estimators': 166, 'learning_rate': 0.14482652765432008, 'max_depth': 5, 'subsample': 0.6476097263523806}",0.8731010823879813,0.7848637124331672,0.646959017466539,0.7092556711478513,0.884433504509547,0.8116709380561712,0.6732269189752018,0.735994471201919,0.026738800054067702,False
GradientBoosting,"{'n_estimators': 157, 'learning_rate': 0.14431142746888947, 'max_depth': 4, 'subsample': 0.7872735637761693}",0.8731010823879813,0.7848637124331672,0.646959017466539,0.7092556711478513,0.884433504509547,0.8116709380561712,0.6732269189752018,0.735994471201919,0.026738800054067702,False
GradientBoosting,"{'n_estimators': 198, 'learning_rate': 0.18725447711884385, 'max_depth': 4, 'subsample': 0.6318369531588889}",0.8731010823879813,0.7848637124331672,0.646959017466539,0.7092556711478513,0.884433504509547,0.8116709380561712,0.6732269189752018,0.735994471201919,0.026738800054067702,False
GradientBoosting,"{'n_estimators': 147, 'learning_rate': 0.12637595262813522, 'max_depth': 4, 'subsample': 0.7951565853676217}",0.8731010823879813,0.7848637124331672,0.646959017466539,0.7092556711478513,0.884433504509547,0.8116709380561712,0.6732269189752018,0.735994471201919,0.026738800054067702,False
GradientBoosting,"{'n_estimators': 192, 'learning_rate': 0.1576949242694733, 'max_depth': 4, 'subsample': 0.6300806506358513}",0.8703985067030948,0.7725761208879081,0.6496112445183676,0.7057745136072398,0.8911080813639295,0.8212973960920692,0.6964579912008194,0.7537286258049182,0.04795411219767842,False
GradientBoosting,"{'n_estimators': 175, 'learning_rate': 0.1207158270774987, 'max_depth': 3, 'subsample': 0.7150364448042372}",0.8712174521876014,0.7855595470708886,0.6351507838811231,0.7023895514176649,0.8772982412672999,0.8018064003879998,0.6471723887080435,0.7162222494640841,0.013832698046419178,False
GradientBoosting,"{'n_estimators': 154, 'learning_rate': 0.18439730980401556, 'max_depth': 5, 'subsample': 0.6314584765388049}",0.8683511065213664,0.7615627376371843,0.6547460546744234,0.7041011308857668,0.9025428989452208,0.8399007511712142,0.7323095087866615,0.7824212612837974,0.07832013039803065,True
GradientBoosting,"{'n_estimators': 142, 'learning_rate': 0.10094756354203745, 'max_depth': 5, 'subsample': 0.7748143646555452}",0.8737153179110062,0.7842161683490508,0.6514937585612751,0.7117198705286562,0.8888354455832355,0.8197331946266093,0.6863612659300543,0.7471283929726722,0.035408522444016044,False
GradientBoosting,"{'n_estimators': 197, 'learning_rate': 0.15505070394140125, 'max_depth': 3, 'subsample': 0.7644114441437371}",0.8736538765007533,0.7873990408908539,0.6465308328918153,0.7100386225579057,0.8816285326594869,0.8074960734109885,0.6634725897771969,0.7284200831039804,0.0183814605460747,False
GradientBoosting,"{'n_estimators': 162, 'learning_rate': 0.18791346751407773, 'max_depth': 4, 'subsample': 0.8310441186703521}",0.8716679076684605,0.7769141009407088,0.6503817483057571,0.7080261495714127,0.892070363309717,0.8250801836014322,0.6966290135312064,0.7554258410916277,0.04739969152021495,False
GradientBoosting,"{'n_estimators': 122, 'learning_rate': 0.10487686867085051, 'max_depth': 4, 'subsample': 0.673815560369186}",0.8721387840929024,0.7836910357853247,0.6431083876114888,0.7064442348797626,0.8795504029707302,0.802338698898958,0.6589805068256948,0.7235996480612901,0.017155413181527468,False
GradientBoosting,"{'n_estimators': 178, 'learning_rate': 0.16626525133089026, 'max_depth': 5, 'subsample': 0.6471117064612605}",0.86843300283046,0.7642570451210356,0.6509804774368937,0.703084785637038,0.9032902076384065,0.8422115967211828,0.7332080692362437,0.7839301959104175,0.08084541027337944,True
GradientBoosting,"{'n_estimators': 169, 'learning_rate': 0.16818930309216834, 'max_depth': 4, 'subsample': 0.6147157513150052}",0.8709103708965511,0.7737397867066212,0.6508946779730415,0.7070164343600736,0.8902583849929266,0.8190403185340963,0.6949175493037606,0.7518867512665796,0.044870316906506,False
GradientBoosting,"{'n_estimators': 102, 'learning_rate': 0.17098948107452203, 'max_depth': 3, 'subsample': 0.896637397600101}",0.8701937464375274,0.7850820333891715,0.6299316899199469,0.6989823614601965,0.8755784112317629,0.800018567436279,0.6399848605127224,0.7111033437064815,0.012120982246284995,False
